Shelfmark,Title,Dates,Language,Links
Add Ch 1390,"Chirograph of Fredescendis, abbess of Maubeuge, granting land to Guarin, abbot of Vicogne",between 1129 and 1151,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100181356115.0x000001
Add Ch 1528,"Letter of Margaret, Archduchess of Austria, to the Council of Flanders, concerning a treaty between the Holy Roman Emperor and the King of France",13 Oct 1521,French,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100182983364.0x000001
Add Ch 6026,Grant by Aubrey de Vere and Isabel de Bolebec to Woburn Abbey of tenements in Warndon,1184-1194,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140665.0x000001
Add Ch 6290,"Will of Joan Ward, widow, of St Saviour's Parish, Southwark",22 Aug 1544,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140678.0x000001
Add Ch 7483,"Grant by Edward III to Isabella, his daughter, of a dowry for her marriage to Louis, count of Flanders",14 Mar 1347,"French, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140740.0x000001
Add Ch 8043,"Isabel of Portugal claims her rights to the crown of England and declares herself universal heiress of Henry VI, the late king",17 Jun 1471,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172074978.0x000001
Add Ch 8129,"Letter of Eleanor of Castile, Queen of England, granting power to William de Verges to do fealty in her name to Guy, Count of Flanders",1280,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140796.0x000001
Add Ch 10392,Will of Sibylla Frances of Dunwich,1455,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140363.0x000001
Add Ch 10594,"Grant by Richard de Camville and Eustacia Basset, his wife, to Bicester Priory",1200-1217,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140368.0x000001
Add Ch 10605,"Grant by Richard de Campville and Eustacia his wife to Bicester Priory of tithes in Bicester, Stratton and Wretchwick",1st half of 13th century,"English, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140375.0x000001
Add Ch 10608,"Confirmation by Sybilla of Kaversfeld, widow of Hugh Gargate, to Bicester Priory of land in Stratton",Early 13th century,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140382.0x000001
Add Ch 10619,Quitclaim by Ela de Audley to Bicester Priory of land in Wrethwick,1273-1274,Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140387.0x000001
Add Ch 11271,"Acknowledgement by Marie, abbess of St Stephen's Abbey, Soissons, to the Knights Templar of Mont-de-Soissons",1233,"French, Middle; Latin",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140394.0x000001
Add Ch 11282,"Grant by Odelina de Trachy, abbess of St Mary of Soissons, to the Knights Templar of Mont-de-Soissons, of Ermengarde and her daughter Helota",1264,French; Latin,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140401.0x000001
Add Ch 12634,"Acknowledgement by Guy, count of Flanders, and Isabeau, his wife, countess of Namur, of a debt to Raoul de Harcout",1294,"French, Middle",https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100165140413.0x000001
Add Ch 12731,"Acknowledgement of the supremacy of Baldwin, archbishop of Trier, by Gerlach of Limburg, Kunegunde, his wife, and Gerlach, their son",1344-1345,German,https://iiif.bl.uk/uv/#?manifest=https://bl.digirati.io/iiif/ark:/81055/vdc_100172069230.0x000001
